asctimes	names	levelnames	threadNames	funcNames	linenod	messages
2018-03-12 16:21:17,172	control24d	DEBUG	thread_listener	_receive_handler	584	MP recv: c:1 s:5 d:b0 06 00 26 00
2018-03-12 16:21:17,172	control24d	DEBUG	thread_listener	_receive_handler	594	TODESK CMD 3
2018-03-12 16:21:17,173	control24d	DEBUG	thread_listener	_send_packet	610	Sending Packet of 35 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 15 00 00 00 00 00 03 00 00 00 00 00 00 00 01 B0 06 00 26 00 
2018-03-12 16:21:17,183	control24d	DEBUG	thread_pcap_loop	_packet_handler	534	FROMDESK ACK
2018-03-12 16:21:17,213	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1827
2018-03-12 16:21:17,213	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1827 0.000800
2018-03-12 16:21:17,214	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 23 00 00 A0 00 
2018-03-12 16:21:17,224	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1828
2018-03-12 16:21:17,225	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1828 0.000800
2018-03-12 16:21:17,225	control24d	DEBUG	thread_listener	_receive_handler	584	MP recv: c:1 s:5 d:b0 06 00 26 00
2018-03-12 16:21:17,225	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 24 00 00 A0 00 
2018-03-12 16:21:17,226	control24d	DEBUG	thread_listener	_receive_handler	594	TODESK CMD 4
2018-03-12 16:21:17,227	control24d	DEBUG	thread_listener	_send_packet	610	Sending Packet of 35 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 15 00 00 00 00 00 04 00 00 00 00 00 00 00 01 B0 06 00 26 00 
2018-03-12 16:21:17,236	control24d	DEBUG	thread_pcap_loop	_packet_handler	534	FROMDESK ACK
2018-03-12 16:21:17,527	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1829
2018-03-12 16:21:17,527	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1829 0.000800
2018-03-12 16:21:17,528	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 25 00 00 A0 00 
