asctimes	names	levelnames	threadNames	funcNames	linenod	messages
2018-03-12 16:22:07,886	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1223	{'CmdClass': 'C24fader', 'TrackNumber': 0, 'addresses': ['/', 'track', '/', 'c24fader', '/', '1'], 'ChildByteMask': 64, 'TrackByteMask': 31, 'cmdbytes': ['\xb0', '\x00', 'B', ' ', 'P', '2', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00'], 'address': '/track/c24fader/1', 'ChildByte': 1, 'lkpbytes': [176, 0], 'TrackByte': 1}
2018-03-12 16:22:07,887	control24osc	DEBUG	thread_c24_client	osc_client_send	1396	OSCClient sending: /track/c24fader/1 [0.5205078125]
2018-03-12 16:22:07,887	control24osc	DEBUG	thread_c24_client	_manage_c24_client	1317	MP Client waiting for data: 7
2018-03-12 16:22:07,911	control24osc	DEBUG	thread_osc_listener	_daw_to_desk	1260	OSC Listener received Message: ('192.168.0.10', 52052) /track/c24scribstrip/volume/1 [s] ['-10.2dB']
2018-03-12 16:22:07,911	control24osc	DEBUG	thread_osc_listener	set_current_display	624	c24scribstrip mode state: /track/c24scribstrip/volume = -10
2018-03-12 16:22:07,911	control24osc	DEBUG	thread_osc_listener	c24_client_send	1413	MP send: f013014000002d313018f700
2018-03-12 16:22:07,911	control24osc	DEBUG	thread_osc_listener	_daw_to_desk	1260	OSC Listener received Message: ('192.168.0.10', 52052) /track/c24scribstrip/volume/1 [s] ['-9.89dB']
2018-03-12 16:22:07,911	control24osc	DEBUG	thread_osc_listener	set_current_display	624	c24scribstrip mode state: /track/c24scribstrip/volume = -9.8
2018-03-12 16:22:07,911	control24osc	DEBUG	thread_osc_listener	c24_client_send	1413	MP send: f013014000002d392e38f700
2018-03-12 16:22:07,918	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1216	b0004520106f000000000000000000000000000000000000000000000000
2018-03-12 16:22:07,918	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1218	nc: 1
2018-03-12 16:22:07,918	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1223	{'CmdClass': 'C24fader', 'TrackNumber': 0, 'addresses': ['/', 'track', '/', 'c24fader', '/', '1'], 'ChildByteMask': 64, 'TrackByteMask': 31, 'cmdbytes': ['\xb0', '\x00', 'E', ' ', '\x10', 'o', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00'], 'address': '/track/c24fader/1', 'ChildByte': 1, 'lkpbytes': [176, 0], 'TrackByte': 1}
2018-03-12 16:22:07,918	control24osc	DEBUG	thread_c24_client	osc_client_send	1396	OSCClient sending: /track/c24fader/1 [0.5400390625]
2018-03-12 16:22:07,919	control24osc	DEBUG	thread_c24_client	_manage_c24_client	1317	MP Client waiting for data: 7
2018-03-12 16:22:07,939	control24osc	DEBUG	thread_osc_listener	_daw_to_desk	1260	OSC Listener received Message: ('192.168.0.10', 52052) /track/c24scribstrip/volume/1 [s] ['-8.80dB']
2018-03-12 16:22:07,939	control24osc	DEBUG	thread_osc_listener	set_current_display	624	c24scribstrip mode state: /track/c24scribstrip/volume = -8.8
2018-03-12 16:22:07,939	control24osc	DEBUG	thread_osc_listener	c24_client_send	1413	MP send: f013014000002d382e38f700
2018-03-12 16:22:07,950	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1216	b00047205032000000000000000000000000000000000000000000000000
2018-03-12 16:22:07,950	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1218	nc: 1
2018-03-12 16:22:07,950	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1223	{'CmdClass': 'C24fader', 'TrackNumber': 0, 'addresses': ['/', 'track', '/', 'c24fader', '/', '1'], 'ChildByteMask': 64, 'TrackByteMask': 31, 'cmdbytes': ['\xb0', '\x00', 'G', ' ', 'P', '2', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00'], 'address': '/track/c24fader/1', 'ChildByte': 1, 'lkpbytes': [176, 0], 'TrackByte': 1}
2018-03-12 16:22:07,950	control24osc	DEBUG	thread_c24_client	osc_client_send	1396	OSCClient sending: /track/c24fader/1 [0.5595703125]
2018-03-12 16:22:07,951	control24osc	DEBUG	thread_c24_client	_manage_c24_client	1317	MP Client waiting for data: 7
2018-03-12 16:22:07,967	control24osc	DEBUG	thread_osc_listener	_daw_to_desk	1260	OSC Listener received Message: ('192.168.0.10', 52052) /track/c24scribstrip/volume/1 [s] ['-7.75dB']
2018-03-12 16:22:07,967	control24osc	DEBUG	thread_osc_listener	set_current_display	624	c24scribstrip mode state: /track/c24scribstrip/volume = -7.7
2018-03-12 16:22:07,967	control24osc	DEBUG	thread_osc_listener	c24_client_send	1413	MP send: f013014000002d372e37f700
2018-03-12 16:22:07,982	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1216	b0004920306f000000000000000000000000000000000000000000000000
2018-03-12 16:22:07,982	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1218	nc: 1
2018-03-12 16:22:07,982	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1223	{'CmdClass': 'C24fader', 'TrackNumber': 0, 'addresses': ['/', 'track', '/', 'c24fader', '/', '1'], 'ChildByteMask': 64, 'TrackByteMask': 31, 'cmdbytes': ['\xb0', '\x00', 'I', ' ', '0', 'o', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00'], 'address': '/track/c24fader/1', 'ChildByte': 1, 'lkpbytes': [176, 0], 'TrackByte': 1}
2018-03-12 16:22:07,982	control24osc	DEBUG	thread_c24_client	osc_client_send	1396	OSCClient sending: /track/c24fader/1 [0.5732421875]
2018-03-12 16:22:07,982	control24osc	DEBUG	thread_c24_client	_manage_c24_client	1317	MP Client waiting for data: 7
2018-03-12 16:22:08,001	control24osc	DEBUG	thread_osc_listener	_daw_to_desk	1260	OSC Listener received Message: ('192.168.0.10', 52052) /track/c24scribstrip/volume/1 [s] ['-7.02dB']
2018-03-12 16:22:08,001	control24osc	DEBUG	thread_osc_listener	set_current_display	624	c24scribstrip mode state: /track/c24scribstrip/volume = -7.0
2018-03-12 16:22:08,001	control24osc	DEBUG	thread_osc_listener	c24_client_send	1413	MP send: f013014000002d372e30f700
2018-03-12 16:22:08,015	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1216	b0004b200033000000000000000000000000000000000000000000000000
2018-03-12 16:22:08,015	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1218	nc: 1
2018-03-12 16:22:08,015	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1223	{'CmdClass': 'C24fader', 'TrackNumber': 0, 'addresses': ['/', 'track', '/', 'c24fader', '/', '1'], 'ChildByteMask': 64, 'TrackByteMask': 31, 'cmdbytes': ['\xb0', '\x00', 'K', ' ', '\x00', '3', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00'], 'address': '/track/c24fader/1', 'ChildByte': 1, 'lkpbytes': [176, 0], 'TrackByte': 1}
2018-03-12 16:22:08,015	control24osc	DEBUG	thread_c24_client	osc_client_send	1396	OSCClient sending: /track/c24fader/1 [0.5859375]
2018-03-12 16:22:08,015	control24osc	DEBUG	thread_c24_client	_manage_c24_client	1317	MP Client waiting for data: 7
2018-03-12 16:22:08,029	control24osc	DEBUG	thread_osc_listener	_daw_to_desk	1260	OSC Listener received Message: ('192.168.0.10', 52052) /track/c24scribstrip/volume/1 [s] ['-6.36dB']
